gender,age,occupation,monthly_income,province,skin_type,skin_concerns,acne_level,skincare_influence,skincare_selection_method,cleansing_selection_method,uses_cleansing_water_raw,cleansing_types_used,cleansing_type_primary,cleansing_water_formula,factor_deep_cleansing,factor_acne_friendly,factor_sensitive_friendly,factor_no_allergen,factor_hypoallergenic,factor_moisturizing,factor_low_friction,factor_nourishment,factor_eye_friendly,factor_oil_control,switch_factors,brands_used,brand_primary,province_group,occupation_group,age_encoded,monthly_income_encoded,acne_level_encoded,gender_male,gender_female,uses_cleansing_water,not_uses_cleansing_water,prob_uneven skintone,prob_ผิวมันเยิ้ม,prob_ผิวหมองคล้ำ,prob_ผิวแพ้ง่าย,prob_ผิวแห้ง/ลอก/เป็นขุย,prob_ฝ้า กระ,prob_รอยสิว,prob_ริ้วรอย,prob_รูขุมขนกว้าง,prob_สิวผด,prob_สิวอักเสบ,prob_สิวอุดตัน,prob_สิวเสี้ยน,prob_สิวเสี้ยน​,prob_หลุมสิว,prob_ไม่มีปัญหาผิว,skin_type_encoded,cluster
หญิง,23-28 ปี,พนักงานบริษัทเอกชน,"35,000 - 39,999 บาท",กทม.,ผิวมัน,"สิวอักเสบ, สิวอุดตัน, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวมันเยิ้ม, ผิวหมองคล้ำ",สิวปานกลาง (เป็นสิวอักเสบ/หัวหนองมากกว่า10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, ปรึกษาหมอผิวหนัง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,"ราคาถูกกว่า (Cheaper price), เลือกเพราะโปรโมชั่น (Promotion), เพื่อนแนะนำ (Friend recommended), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), มีไซส์เล็ก/ไซส์ทดลอง/ไซส์พกพา (Mini size), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (Current brand is out of stock)",Kiyora,Kiyora,Bangkok_Metropolitan,Private_Employee,3,7,3,False,True,True,False,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3,2
หญิง,23-28 ปี,พนักงานบริษัทเอกชน,"25,000 - 29,999 บาท",กทม.,ผิวแห้ง,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวหมองคล้ำ",สิวปานกลาง (เป็นสิวอักเสบ/หัวหนองมากกว่า10เม็ด),ปรึกษาหมอผิวหนัง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรผิวแพ้ง่าย,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist),"Kiyora, Bellevia",Kiyora,Bangkok_Metropolitan,Private_Employee,3,5,3,False,True,True,False,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,2
หญิง,29-34 ปี,พนักงานองค์กรระหว่างประเทศ,"25,000 - 29,999 บาท",ฉะเชิงเทรา,ผิวผสม,"สิวอักเสบ, สิวอุดตัน, รูขุมขนกว้าง, ผิวแห้ง/ลอก/เป็นขุย",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกตามเพื่อน, ปรึกษาหมอผิวหนัง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้, เลือกใช้สูตรที่ขายดี/สูตรดัง ของแบรนด์นั้นๆ",ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing water,สูตรลดสิว-ผิวแพ้ง่าย,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,"เห็นคนใช้จริงรีวิว (Online review, Real users), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist), ยี่ห้อเดิมที่ใช้อยู่หมด/หาซื้อไม่ได้ (Current brand is out of stock), ไม่เคยเปลี่ยนแบรนด์เลย (No switching)","Florelle, Kiyora, Bellevia",Kiyora,Provincial,Other,4,5,2,False,True,True,False,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,0
หญิง,23-28 ปี,ลูกจ้างหน่วยงานราชการ,"ต่ำกว่า 10,000 บาท",แพร่,ผิวแห้ง,"สิวอุดตัน, ผิวแพ้ง่าย, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ไม่ใช้,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Kiyora,Provincial,Gov_Employee,3,1,2,False,True,False,True,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1
หญิง,23-28 ปี,พนักงานบริษัทเอกชน,"15,000 - 19,999 บาท",กทม.,ผิวแห้ง,"สิวอักเสบ, สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง",สิวรุนแรง (มีสิวทุกประเภทร่วมกันเป็นกลุ่มก้อน อักเสบนาน และมีหนองไหล),"เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ไม่ใช้,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Kiyora,Bangkok_Metropolitan,Private_Employee,3,3,4,False,True,False,True,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,4,1
หญิง,23-28 ปี,ธุรกิจส่วนตัว,"ต่ำกว่า 10,000 บาท",พิษณุโลก,ผิวผสม,"สิวอุดตัน, สิวผด, ผิวมันเยิ้ม, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),เลือกตามเพื่อน,เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว,ไม่ใช้,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Kiyora,Provincial,Business_Freelance,3,1,2,False,True,False,True,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1
หญิง,29-34 ปี,ธุรกิจส่วนตัว,"10,001 - 14,999 บาท",เชียงราย,ผิวแห้ง,"สิวอุดตัน, สิวผด, ผิวแพ้ง่าย, รูขุมขนกว้าง, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"ปรึกษาหมอผิวหนัง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",ไม่ใช้,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Kiyora,Provincial,Business_Freelance,4,2,2,False,True,False,True,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,4,1
หญิง,23-28 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวผสม,"สิวอุดตัน, รูขุมขนกว้าง, ผิวมันเยิ้ม, ผิวหมองคล้ำ","นานๆทีเป็นสิว เช่น มีสิวเฉพาะช่วงมีประจำเดือน, พักผ่อนน้อย","เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง","เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้",เลือกใช้สูตรที่เคลมว่าอ่อนโยน ผิวแพ้ง่ายใช้ได้,ใช้,"Cleansing water, Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง)",Cleansing sheet (ทิชชู่แผ่นเช็ดเครื่องสำอาง),"สูตรผิวแพ้ง่าย, สูตรคุมมัน (สำหรับผิวมัน)",5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,"เพื่อนแนะนำ (Friend recommended), เห็นคนใช้จริงรีวิว (Online review, Real users)","Kiyora, Kireiha, Klinor Lab",Kiyora,Bangkok_Metropolitan,Private_Employee,3,8,1,False,True,True,False,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
ชาย,23-28 ปี,ธุรกิจส่วนตัว,"40,000 บาท ขึ้นไป",พิษณุโลก,ผิวแห้ง,ผิวแห้ง/ลอก/เป็นขุย,ไม่มีสิวเลย,เลือกด้วยตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ไม่ใช้,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Kiyora,Provincial,Business_Freelance,3,8,0,True,False,False,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"40,000 บาท ขึ้นไป",กทม.,ผิวผสม,"สิวอุดตัน, รูขุมขนกว้าง, ผิวมันเยิ้ม",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามเพื่อน, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,ใช้,"Cleansing water, Cleansing oil",Cleansing water,"สูตรลดสิว, สูตรคุมมัน (สำหรับผิวมัน)",5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,"ราคาถูกกว่า (Cheaper price), เพื่อนแนะนำ (Friend recommended), เห็นคนใช้จริงรีวิว (Online review, Real users), บิวตี้บลอกเกอร์แนะนำ (Beauty bloggers), ผู้เชี่ยวชาญ/หมอผิวหนังแนะนำ (Skin expert/dermatologist)",Kiyora,Kiyora,Bangkok_Metropolitan,Private_Employee,4,8,2,False,True,True,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
หญิง,29-34 ปี,พนักงานบริษัทเอกชน,"20,000 - 24,999 บาท",สงขลา,ผิวผสม,"สิวอุดตัน, สิวผด, ผิวแห้ง/ลอก/เป็นขุย, ผิวหมองคล้ำ",สิวเล็กน้อย (ส่วนใหญ่เป็นสิวอุดตัน เป็นสิวอักเสบ/หัวหนองไม่เกิน 10เม็ด),"เลือกด้วยตนเอง, เลือกตามบิวตี้บลอกเกอร์/ผู้ใช้จริงรีวิว ที่มีสภาพผิวคล้ายๆตัวเอง",เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง,"เลือกใช้ให้ตรงตามสภาพผิวและปัญหาผิวของตนเอง, เลือกใช้สูตรที่เคลมว่าไม่ก่อให้เกิดสิว/ลดสิว",ไม่ใช้,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Kiyora,Provincial,Private_Employee,4,4,2,False,True,False,True,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1
